DEPTH,ALCDLC,ALDD,DGDD,DGRCC,R09PC,R15PC,R27PC,R39PC,ROPA,TNDD,TNPL,TNPS,ALCDLC_TR,ALDD_TR,DGDD_TR,DGRCC_TR,R09PC_TR,R15PC_TR,R27PC_TR,R39PC_TR,ROPA_TR,TNDD_TR,TNPL_TR,TNPS_TR,ALCDLC_TR_TR,ALDD_TR_TR,DGDD_TR_TR,DGRCC_TR_TR,R09PC_TR_TR,R15PC_TR_TR,R27PC_TR_TR,R39PC_TR_TR,ROPA_TR_TR,TNDD_TR_TR,TNPL_TR_TR,TNPS_TR_TR,MISSING_FLAG
1551.2796,2.3806,127.9085,8412633088.0,81.5534,0.8808,1.1675,1.1303,1.0581,292.1559,102.7826,0.273093,0.305398,,,,,,,,,,,,,,,,,,,,,,,,,1
1551.432,2.3864,98.1104,8767986688.0,84.8936,0.8278,1.3575,1.2442,0.9926,277.4381,95.8234,0.261793,0.298692,,,,,,,,,,,,,,,,,,,,,,,,,1
1551.5844,2.4162,77.9719,7419743232.0,87.1384,1.0797,1.587,1.4457,1.1361,259.2661,115.0346,0.242329,0.287074,,,,,,,,,,,,,,,,,,,,,,,,,1
1551.7368,2.4614,65.6159,4698932736.0,84.0583,1.9773,1.8486,1.7177,1.6541,238.311,155.3309,0.22499,0.271499,,,,,,,,,,,,,,,,,,,,,,,,,1
1551.8892,2.4935,53.2598,1978122240.0,76.687,2.0778,2.1101,1.9897,2.126,217.3559,195.6272,0.208046,0.255924,,,,,,,,,,,,,,,,,,,,,,,,,1
1552.0416,2.4905,52.0813,218.9918,72.2949,2.0844,2.2861,2.1628,2.1592,223.0668,276.234,0.200881,0.244974,,,,,,,,,,,,,,,,,,,,,,,,,1
1552.194,2.4745,80.6734,203.962,67.4876,2.0956,2.234,2.0725,2.1685,299.8014,464.2061,0.202294,0.246346,,,,,,,,,,,,,,,,,,,,,,,,,1
1552.3464,2.46,109.2655,188.9322,65.8528,1.987,2.182,1.9822,2.0062,376.5361,652.1782,0.204731,0.247718,,,,,,,,,,,,,,,,,,,,,,,,,1
1552.4988,2.439,137.8576,173.9025,70.3318,1.82,2.1299,1.8918,1.8029,453.2708,840.1503,0.209491,0.249089,,,,,,,,,,,,,,,,,,,,,,,,,1
1552.6512,2.4223,127.2079,184.9157,72.9202,1.7325,2.1012,1.9519,1.7666,431.4032,625.2716,0.212976,0.250824,,,,,,,,,,,,,,,,,,,,,,,,,1
