DEPTH,DT,GR_CAL,TENS
1585.1124,255.0968,115.9576,319.6904
1585.2648,261.4401,111.4095,318.3361
1585.4172,268.6732,111.6411,314.9897
1585.5696,273.209,114.4205,319.2271
1585.722,279.9735,107.4719,323.7531
1585.8744,285.8372,110.2935,324.653
1586.0268,305.3801,124.6539,324.8685
1586.1792,326.7093,136.0033,325.9983
1586.3316,321.3039,131.5815,325.2142
1586.484,302.3275,116.7578,325.6526
1586.6364,290.4048,102.6289,325.535
1586.7888,285.7303,95.8909,327.4773
1586.9412,300.4901,104.4608,326.1818
1587.0936,302.5764,107.7035,325.0895
1587.246,282.7568,103.2817,324.2413
1587.3984,267.6874,90.0793,325.8023
1587.5508,261.7704,91.7007,327.9584
1587.7032,274.7773,100.5233,329.2591
1587.8556,296.5876,114.8838,328.6354
1588.008,315.7096,118.8213,326.6131
1588.1604,313.4955,124.1486,326.1943
1588.3128,306.138,119.7478,326.9659
1588.4652,302.0747,121.0112,328.8672
1588.6176,302.5079,116.1471,329.3768
1588.77,304.771,121.0112,329.9185
1588.9224,304.7715,121.6429,330.0789
1589.0748,320.7321,123.7275,329.22
1589.2272,321.5812,119.3267,328.9651
1589.3796,322.4774,123.6853,329.6155
1589.532,325.3697,128.9494,329.1808
1589.6844,311.136,126.17,329.1024
1589.8368,311.3102,128.1283,330.0789
1589.9892,315.0701,123.3274,332.7482
1590.1416,315.9893,127.7282,331.1837
1590.294,320.2104,128.9916,328.0831
1590.4464,321.9859,130.634,328.9847
1590.5988,326.4169,132.0237,332.5521
1590.7512,323.1565,126.1279,332.7874
1590.9036,323.27,130.7393,333.5536
1591.056,322.0493,137.4773,333.1793
1591.2084,318.2043,137.6879,332.3954
1591.3608,309.8941,133.2871,332.4345
1591.5132,295.4123,127.3913,334.4338
1591.6656,292.5685,133.7924,335.2464
1591.818,297.0695,145.1629,335.1786
1591.9704,308.0945,152.9538,334.3162
1592.1228,320.1601,153.8802,334.0222
1592.2752,314.5062,150.7218,335.2285
1592.4276,308.3631,144.4048,338.3932
1592.58,312.5215,139.3934,338.4716
1592.7324,317.1965,134.1925,337.8443
1592.8848,327.7843,141.3517,335.3711
1593.0372,336.6672,147.0369,333.1009
1593.1896,334.9051,149.3531,334.5906
1593.342,323.934,142.1939,336.9231
1593.4944,312.0276,138.2774,335.3177
1593.6468,296.0653,129.5811,331.5329
1593.7992,297.4597,124.317,330.004
1593.9516,310.9842,123.6222,329.1879
1594.104,324.6797,137.0983,328.2007
1594.2564,339.647,146.2999,328.4751
